Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Ứng Hòa,38.56,Trong lang xom,Tho cu + Dat vuon,107,7.8,2,3,4,6.9,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,8,1.84
Sóc Sơn,26.02,Gan lang nghe,Tho cu + Dat vuon,72,7.6,1,2,2,4.6,Duong be tong,1,1,0,Tây Bắc,Chờ sổ,Thap,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,0,2.2
Thanh Oai,21.93,Khu dan cu,Full tho cu,93,7.0,4,5,4,3.8,Duong be tong,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,9,7.34
Thanh Xuân,7.7,Khu dan cu dong duc,Full tho cu,89,8.4,2,2,3,13.5,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,4,19.76
Hoài Đức,23.4,Khu dan cu,Full tho cu,109,5.0,1,1,1,5.8,Duong nhua,1,1,0,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,1,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Nat/Can dap di,19,5.97
Thường Tín,28.02,Trong lang xom,Full tho cu,106,6.0,3,4,4,2.0,Duong dat,0,0,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,2,3.0
Long Biên,5.95,Khu dau gia,Full tho cu,135,6.8,3,3,2,6.7,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Xuong cap nhe,17,40.2
Thanh Xuân,6.31,Khu dan cu dong duc,Full tho cu,45,5.5,3,6,2,3.9,Duong be tong,1,0,1,Tây Bắc,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,11,10.19
Chương Mỹ,31.68,Trong lang xom,Full tho cu,136,8.8,2,3,3,8.7,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,2,5.38
Chương Mỹ,25.18,Gan lang nghe,Full tho cu,133,8.2,1,1,2,11.2,Duong nhua,1,1,0,Đông,Hợp đồng mua bán,Cao,Tốt,0,1,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Xuong cap nhe,23,3.98
Sóc Sơn,35.67,Gan lang nghe,Full tho cu,111,7.3,1,1,2,4.8,Duong be tong,1,1,0,Đông,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,5.73
Phú Xuyên,35.51,Trong lang xom,Tho cu + Dat vuon,144,10.9,3,3,2,11.2,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,Hay hong,Binh thuong,21,3.21
Đống Đa,3.34,Khu dan cu dong duc,Full tho cu,31,11.3,4,8,6,7.5,Duong nhua,1,0,1,Tây,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,25,8.55
Phúc Thọ,39.16,Gan lang nghe,Tho cu + Dat vuon,116,8.0,3,1,2,4.4,Duong be tong,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,Hay hong,Xuong cap nhe,18,2.31
Hoài Đức,15.46,Khu dau gia,Tho cu + Dat vuon,62,6.4,3,6,4,9.6,Duong nhua,1,1,1,Đông,Chờ sổ,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Xuong cap nhe,17,5.34
Bắc Từ Liêm,15.96,Khu dan cu,Full tho cu,91,11.0,2,3,1,2.1,Duong be tong,0,0,1,Đông Nam,Chờ sổ,Cao,Tốt,0,1,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Xuong cap nhe,18,9.76
Tây Hồ,7.0,Khu dan cu dong duc,Full tho cu,52,9.5,7,13,5,5.9,Duong nhua,1,1,1,Đông,Chờ sổ,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,13,21.89
Ứng Hòa,44.68,Trong lang xom,Tho cu + Dat vuon,40,10.5,2,2,1,6.4,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,7,0.59
Quốc Oai,28.19,Trong lang xom,Tho cu + Dat vuon,84,10.5,1,1,1,7.3,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,12,3.0
Bắc Từ Liêm,11.16,Khu dau gia,Full tho cu,42,9.5,2,1,1,10.3,Duong nhua,1,0,1,Đông Nam,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,Can sua chua,Xuong cap nhe,30,6.87
Hoàng Mai,11.31,Khu dan cu dong duc,Full tho cu,57,3.3,8,9,4,9.9,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,1,10.12
Phú Xuyên,39.1,Trong lang xom,Full tho cu,172,6.9,1,1,2,2.1,Duong dat,0,0,0,Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,1,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,0,2.58
Phúc Thọ,33.09,Trong lang xom,Tho cu + Dat vuon,92,12.3,2,3,2,12.6,Duong nhua,1,1,1,Đông,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,1,1.88
Thanh Oai,29.07,Khu dan cu,Full tho cu,97,11.4,4,1,1,8.6,Duong nhua,1,1,1,Đông,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,9,7.52
Hoài Đức,17.29,Khu dan cu,Full tho cu,112,9.5,4,1,1,13.2,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Nat/Can dap di,26,7.53
Đống Đa,5.46,Khu dan cu dong duc,Full tho cu,36,5.4,7,9,10,8.1,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,1,Không gần gì,Gần Metro (Tàu điện),Cơ bản,Hay hong,Xuong cap nhe,23,9.07
Thanh Trì,15.45,Khu dau gia,Full tho cu,76,10.0,3,1,1,8.5,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,28,12.3
Gia Lâm,15.25,Khu dan cu,Full tho cu,58,11.1,1,2,1,13.7,Duong nhua,1,1,0,Tây Nam,Hợp đồng mua bán,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Nat/Can dap di,25,5.12
Đông Anh,24.05,Gan KCN,Full tho cu,34,5.2,2,3,2,14.4,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,Hay hong,Binh thuong,28,3.51
Phú Xuyên,41.45,Trong lang xom,Tho cu + Dat vuon,112,12.2,2,2,2,11.8,Duong nhua,1,1,1,Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Nat/Can dap di,20,1.72
Bắc Từ Liêm,12.83,Khu dan cu,Full tho cu,44,8.9,3,3,1,6.1,Duong nhua,1,0,1,Đông,Vi bằng,Cao,Kém (Hay trộm cắp),1,0,Không gần gì,Gần Bến xe Bus,Cơ bản,Can sua chua,Nat/Can dap di,24,3.21
Thanh Oai,29.97,Khu dan cu,Full tho cu,52,3.8,4,1,1,7.9,Duong nhua,1,0,1,Đông,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,5,3.62
Hai Bà Trưng,3.79,Khu dan cu dong duc,Full tho cu,57,10.2,4,4,1,10.6,Duong nhua,1,1,1,Đông Bắc,Chờ sổ,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,11,17.65
Hoàng Mai,8.84,Khu dan cu dong duc,Full tho cu,29,5.2,3,2,1,5.4,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,1,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Nat/Can dap di,24,3.09
Hoàn Kiếm,1.76,Khu dan cu dong duc,Full tho cu,54,11.1,8,16,5,5.1,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,0,32.21
Long Biên,9.39,Khu dan cu,Full tho cu,70,3.4,5,9,3,10.4,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,19,8.26
Ứng Hòa,38.49,Mat duong Quoc lo,Tho cu + Dat vuon,99,11.9,3,4,3,9.5,Duong nhua,1,1,1,Tây Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,12,2.27
Cầu Giấy,7.48,Khu dan cu dong duc,Full tho cu,55,3.5,2,3,3,6.4,Duong nhua,1,0,1,Đông,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,0,17.53
Ba Vì,56.99,Mat duong Quoc lo,Tho cu + Dat vuon,90,6.0,1,2,2,15.0,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,21,1.59
Đống Đa,3.49,Khu dan cu dong duc,Full tho cu,83,6.7,4,8,7,7.4,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,12,26.23
Ba Đình,4.23,Khu dan cu dong duc,Full tho cu,66,7.0,2,3,2,6.3,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Thap,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,8,28.76
Ba Đình,3.59,Khu dan cu dong duc,Full tho cu,70,6.0,8,8,6,13.5,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,27,29.52
Đan Phượng,18.48,Gan KCN,Full tho cu,135,7.1,2,2,1,5.2,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,28,11.44
Gia Lâm,16.12,Khu dan cu,Full tho cu,46,4.8,3,3,1,5.3,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,7,5.04
Mê Linh,30.4,Trong lang xom,Tho cu + Dat vuon,132,6.6,1,2,1,12.7,Duong nhua,1,1,0,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,20,2.89
Chương Mỹ,31.7,Mat duong Quoc lo,Full tho cu,40,10.9,3,2,2,11.9,Duong nhua,1,0,1,Đông,Hợp đồng mua bán,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,10,2.26
Long Biên,11.87,Gan KCN,Full tho cu,47,11.5,3,3,3,10.1,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,11,7.7
Thanh Oai,20.51,Khu dan cu,Full tho cu,104,7.5,3,4,1,3.3,Duong be tong,0,0,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,7,5.32
Hoàn Kiếm,0.77,Khu dan cu dong duc,Full tho cu,44,10.2,5,9,3,1.5,Duong be tong,0,0,1,Đông Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,8,20.55
Thường Tín,27.07,Trong lang xom,Full tho cu,73,9.6,3,6,2,11.1,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,1,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,28,1.84
Hai Bà Trưng,4.56,Khu dan cu dong duc,Full tho cu,21,11.4,2,4,5,9.9,Duong nhua,1,0,1,Nam,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,9,5.99
Thanh Xuân,6.26,Khu dan cu dong duc,Full tho cu,20,7.0,7,9,10,12.8,Duong nhua,1,0,1,Bắc,Hợp đồng mua bán,Thap,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,27,5.02
Bắc Từ Liêm,14.54,Khu dan cu,Full tho cu,46,4.0,1,2,3,5.2,Duong nhua,1,0,0,Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,21,3.96
Long Biên,14.97,Khu dan cu,Full tho cu,110,6.4,5,8,6,1.6,Duong be tong,0,0,1,Đông Nam,Vi bằng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Xuong cap nhe,29,14.23
Bắc Từ Liêm,14.07,Khu dan cu,Full tho cu,118,7.8,3,4,1,10.6,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,29,15.74
Hoàn Kiếm,1.35,Khu dan cu dong duc,Full tho cu,69,11.1,8,10,7,8.8,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,20,43.03
Đống Đa,3.79,Khu dan cu dong duc,Full tho cu,87,4.6,7,11,3,8.1,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Nat/Can dap di,16,22.49
Ứng Hòa,44.49,Trong lang xom,Tho cu + Dat vuon,211,5.5,2,2,2,7.7,Duong nhua,1,1,1,Tây,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,4,3.67
Hai Bà Trưng,3.35,Khu dan cu dong duc,Full tho cu,71,5.1,6,2,2,8.5,Duong nhua,1,1,1,Bắc,Chờ sổ,Cao,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,10,23.21
Thạch Thất,38.79,Mat duong Quoc lo,Full tho cu,182,13.7,3,5,4,13.1,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Xuong cap nhe,21,16.92
Thanh Xuân,6.79,Khu dan cu dong duc,Full tho cu,47,7.4,6,2,1,5.0,Duong be tong,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,13,11.16
Sơn Tây,43.1,Trong lang xom,Tho cu + Dat vuon,135,8.4,3,1,1,4.5,Duong be tong,1,1,1,Bắc,Vi bằng,Thap,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,25,3.68
Sơn Tây,36.56,Trong lang xom,Full tho cu,213,5.2,2,4,2,12.9,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,11,8.42
Mỹ Đức,53.23,Mat duong Quoc lo,Tho cu + Dat vuon,77,6.6,2,4,5,10.2,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),1,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,Hay hong,Nat/Can dap di,21,0.66
Quốc Oai,24.99,Mat duong Quoc lo,Tho cu + Dat vuon,108,10.6,1,1,1,10.8,Duong nhua,1,1,0,Tây,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,2,4.77
Bắc Từ Liêm,12.6,Khu dau gia,Tho cu + Dat vuon,61,10.2,1,1,2,9.2,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,8,6.53
Thạch Thất,36.03,Gan lang nghe,Full tho cu,58,7.7,2,3,1,10.5,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,22,2.89
Đan Phượng,18.28,Khu dau gia,Full tho cu,73,6.0,2,3,1,13.9,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,1,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,20,4.5
Hoàn Kiếm,1.05,Khu dan cu dong duc,Full tho cu,41,7.8,5,6,4,13.8,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,8,26.98
Ba Vì,57.22,Gan lang nghe,Full tho cu,108,13.3,3,4,5,8.7,Duong nhua,1,1,1,Tây,Chờ sổ,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,22,2.14
Mỹ Đức,55.92,Trong lang xom,Full tho cu,109,10.0,1,1,2,10.6,Duong nhua,1,1,0,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Nat/Can dap di,26,1.46
Ứng Hòa,41.79,Trong lang xom,Full tho cu,45,8.0,3,3,3,8.3,Duong nhua,1,0,1,Đông,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,Hay hong,Binh thuong,28,1.08
Thanh Trì,14.15,Khu dau gia,Full tho cu,67,3.9,4,5,4,5.9,Duong nhua,1,0,1,Tây Nam,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,1,9.99
Hai Bà Trưng,3.1,Khu dan cu dong duc,Full tho cu,35,6.1,5,7,7,4.4,Duong be tong,1,0,1,Tây Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,14,9.32
Hoài Đức,24.94,Khu dan cu,Full tho cu,89,3.2,3,3,4,8.0,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,1,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,17,5.75
Đan Phượng,19.28,Khu dan cu,Full tho cu,119,11.7,2,4,4,7.4,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,19,11.42
Ba Đình,3.11,Khu dan cu dong duc,Full tho cu,55,4.5,5,9,10,9.4,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Binh thuong,16,23.3
Hai Bà Trưng,3.37,Khu dan cu dong duc,Full tho cu,74,9.5,2,3,1,2.8,Duong be tong,0,0,1,Đông,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Nat/Can dap di,21,14.21
Bắc Từ Liêm,14.97,Gan KCN,Tho cu + Dat vuon,87,6.3,4,7,1,3.3,Duong be tong,0,0,1,Tây Bắc,Hợp đồng mua bán,Cao,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,Hay hong,Binh thuong,22,5.13
Thanh Xuân,9.84,Khu dan cu dong duc,Full tho cu,43,6.6,3,2,3,13.3,Duong nhua,1,0,1,Tây Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,3,7.19
Thanh Oai,28.37,Khu dan cu,Full tho cu,82,9.8,3,1,1,6.9,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,15,5.0
Đông Anh,16.21,Khu dan cu,Full tho cu,108,11.6,5,6,3,1.8,Duong be tong,0,0,1,Đông Nam,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12,10.39
Nam Từ Liêm,14.0,Khu dan cu,Full tho cu,125,8.7,4,3,2,5.3,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Cao,Tốt,0,1,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,Hay hong,Binh thuong,20,17.65
Quốc Oai,26.7,Mat duong Quoc lo,Tho cu + Dat vuon,133,13.3,1,2,2,6.0,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,24,5.96
Sơn Tây,40.81,Gan lang nghe,Full tho cu,89,13.3,1,2,3,3.5,Duong be tong,1,1,0,Đông,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,3,2.7
Ba Vì,62.94,Mat duong Quoc lo,Tho cu + Dat vuon,196,11.3,3,3,1,13.5,Duong nhua,1,1,1,Tây,Chờ sổ,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,3.95
Thanh Xuân,8.32,Khu dan cu dong duc,Full tho cu,37,5.5,2,2,1,11.2,Duong nhua,1,0,1,Đông Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),1,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,5,6.27
Thanh Xuân,8.86,Khu dan cu dong duc,Full tho cu,84,8.5,5,4,4,13.5,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,26,15.16
Ba Vì,65.98,Gan lang nghe,Full tho cu,154,9.0,1,1,2,4.5,Duong be tong,1,1,0,Đông Bắc,Vi bằng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,30,3.96
Đống Đa,3.22,Khu dan cu dong duc,Full tho cu,69,11.6,7,7,1,12.9,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,10,20.21
Thường Tín,21.44,Mat duong Quoc lo,Tho cu + Dat vuon,168,12.4,2,2,2,13.8,Duong nhua,1,1,1,Đông Nam,Chờ sổ,Trung binh,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Nat/Can dap di,27,5.1
